query_id,first_relevant_rank
EP1634677,6.0
EP1528743,
EP1256630,
EP1598958,46.0
EP1484935,1.0
EP1895114,18.0
EP1508798,4.0
EP1264993,112.0
EP1754685,3.0
EP1457982,
EP1422383,74.0
EP1518464,2.0
EP1521208,86.0
EP1447249,21.0
EP1323925,
EP1256698,16.0
EP1762201,1.0
EP1278009,
EP1569317,1.0
EP1321058,35.0
EP1444942,
EP1260408,113.0
EP1369339,68.0
EP1298879,1.0
EP1762622,114.0
EP1608076,
EP1440960,1.0
EP1324636,29.0
EP1557088,53.0
EP1580881,266.0
EP1630646,
EP1780308,3.0
EP1749455,24.0
EP1897566,
EP1246173,2.0
EP1522228,59.0
EP1657443,277.0
EP1708148,
EP1376554,838.0
EP1754935,1.0
EP1376528,2.0
EP1677005,10.0
EP1524701,22.0
EP1522834,
EP1790578,2.0
EP1431095,1.0
EP1348773,1.0
EP1820724,14.0
EP1334692,3.0
EP1783198,
EP1507422,252.0
EP1389788,
EP1890292,
EP1435249,11.0
EP1329574,
EP1445439,55.0
EP1298874,3.0
EP1341288,4.0
EP1431946,68.0
EP1300352,
EP1265344,
EP1460490,2.0
EP1300090,5.0
EP1908499,
EP1707912,213.0
EP1327559,1.0
EP1442885,
EP1378659,13.0
EP1528375,31.0
EP1726268,1.0
EP1267598,338.0
EP1387413,265.0
EP1529827,
EP1726359,114.0
EP1354933,10.0
EP1733689,
EP1559741,125.0
EP1557193,54.0
EP1364949,5.0
EP1391717,1.0
EP1837406,38.0
EP1530177,479.0
EP1416600,7.0
EP1617106,117.0
EP1908624,49.0
EP1520620,3.0
EP1246247,1.0
EP1410750,8.0
EP1289238,50.0
EP1489123,20.0
EP1747778,25.0
EP1560213,45.0
EP1298155,31.0
EP1282149,4.0
EP1493820,109.0
EP1713302,28.0
EP1628363,
EP1253550,138.0
EP1277884,2.0
EP1271320,26.0
EP1356802,39.0
EP1607200,314.0
EP1349189,37.0
EP1563750,22.0
EP1400201,1.0
EP1714611,
EP1440659,
EP1747879,10.0
EP1402851,43.0
EP1847216,361.0
EP1387557,134.0
EP1870120,
EP1770214,42.0
EP1772904,238.0
EP1424018,2.0
EP1252976,35.0
EP1577398,1.0
EP1619501,4.0
EP1577180,
EP1836952,39.0
EP1700757,32.0
EP1743816,
EP1444908,
EP1449479,4.0
EP1418714,5.0
EP1449688,1.0
EP1241235,1.0
EP1283031,
EP1860125,444.0
EP1372298,77.0
EP1384914,360.0
EP1258400,42.0
EP1238790,76.0
EP1243277,1.0
EP1475027,5.0
EP1258268,3.0
EP1250943,2.0
EP1329212,78.0
EP1547951,
EP1724001,24.0
EP1624423,7.0
EP1452814,105.0
EP1688306,2.0
EP1306575,23.0
EP1293431,150.0
EP1432072,262.0
EP1574670,10.0
EP1306390,81.0
EP1617247,
EP1741924,130.0
EP1577104,10.0
EP1310154,1.0
EP1310274,
EP1364975,
EP1257105,29.0
EP1747759,
EP1705589,344.0
EP1677299,336.0
EP1472945,10.0
EP1382446,630.0
EP1882482,1.0
EP1302940,19.0
EP1646250,21.0
EP1416277,21.0
EP1707661,1.0
EP1278083,
EP1403982,421.0
EP1255207,348.0
EP1336467,51.0
EP1359133,327.0
EP1371362,1.0
EP1222926,1.0
EP1350866,
EP1429012,1.0
EP1550686,65.0
EP1591616,145.0
EP1367826,74.0
EP1245384,
EP1514487,18.0
EP1787587,22.0
EP1413363,27.0
EP1276041,8.0
EP1855278,1.0
EP1418662,331.0
EP1754991,1.0
EP1607872,
EP1357154,2.0
EP1657430,10.0
EP1444975,14.0
EP1860432,
EP1241522,531.0
EP1748162,639.0
EP1494043,8.0
EP1647339,
EP1445128,119.0
EP1250861,
EP1471143,1.0
EP1231669,6.0
EP1354858,63.0
EP1494304,
EP1659545,8.0
EP1317981,3.0
EP1755216,127.0
EP1349411,132.0
EP1367529,
EP1547831,
EP1574143,2.0
EP1826009,26.0
EP1383127,168.0
EP1471459,99.0
EP1264577,
EP1921898,117.0
EP1225721,127.0
EP1413261,75.0
EP1378814,
EP1448022,3.0
EP1273328,
EP1359068,11.0
EP1420539,683.0
EP1384446,1.0
EP1624628,171.0
EP1745885,1.0
EP1878568,
EP1619636,
EP1280042,1.0
EP1260379,22.0
EP1237200,13.0
EP1416541,238.0
EP1544323,19.0
EP1357356,84.0
EP1458081,83.0
EP1652489,125.0
EP1262288,1.0
EP1852025,171.0
EP1243390,1.0
EP1246140,220.0
EP1320011,
EP1908849,111.0
EP1246022,
EP1544734,242.0
EP1503225,1.0
EP1342747,33.0
EP1277996,
EP1290958,10.0
EP1363484,1.0
EP1522600,94.0
EP1271042,93.0
EP1470884,11.0
EP1332716,1.0
EP1435680,27.0
EP1548090,9.0
EP1298015,212.0
EP1607418,1.0
EP1744379,49.0
EP1416674,479.0
EP1527714,58.0
EP1623758,
EP1912140,
EP1400255,
EP1564467,
EP1872792,2.0
EP1544324,
EP1471110,176.0
EP1688889,186.0
EP1927295,171.0
EP1631096,192.0
EP1635471,10.0
EP1453106,765.0
EP1403462,29.0
EP1284109,6.0
EP1236886,418.0
EP1441230,
EP1375493,10.0
EP1277766,974.0
EP1372326,8.0
EP1879292,25.0
EP1862883,118.0
EP1479748,48.0
EP1746113,1.0
EP1289143,8.0
EP1221372,1.0
EP1510201,
EP1514588,8.0
EP1424597,1.0
EP1253166,16.0
EP1610058,89.0
EP1531449,8.0
EP1707917,20.0
EP1241791,76.0
EP1640198,25.0
EP1783501,255.0
EP1921257,1.0
EP1868267,4.0
EP1324317,15.0
EP1662604,259.0
EP1500648,260.0
EP1570772,20.0
EP1512642,61.0
EP1294154,2.0
EP1367289,35.0
EP1424667,14.0
EP1403825,2.0
EP1571313,29.0
EP1481994,18.0
EP1433564,79.0
EP1707662,1.0
EP1622198,398.0
EP1504822,10.0
EP1416247,43.0
EP1400191,5.0
EP1498210,21.0
EP1310893,580.0
EP1762960,19.0
EP1484919,115.0
EP1477505,
EP1315044,150.0
EP1416333,1.0
EP1264978,1.0
EP1542237,9.0
EP1536291,1.0
EP1832566,
EP1320135,159.0
EP1398503,
EP1315252,33.0
EP1434354,53.0
EP1375380,
EP1482399,
EP1378968,
EP1237050,1.0
EP1362674,
EP1285852,
EP1657334,58.0
EP1503166,1.0
EP1431892,5.0
EP1236866,95.0
EP1434464,30.0
EP1696026,17.0
EP1334667,21.0
EP1310181,30.0
EP1477899,343.0
EP1484502,2.0
EP1780757,452.0
EP1330993,37.0
EP1524774,171.0
EP1349296,28.0
EP1878491,18.0
